dedup_wf_001::680d4358139befdb9b30234bb1af992d,"View of the Puxi in the evening. Centre, Jiushi Building, background, Indigo Hotel."
dedup_wf_001::8ab00021a08c66eab6e35060fecfc45c,
doi_________::8fbb4dd3bb2d68bff760bcbc8abc2a97,Belgium Herbarium image of Meise Botanic Garden.
doi_________::935f0d4ecc1a97519f9497737bf9d4a9,Belgium Herbarium image of Meise Botanic Garden.
doi_________::e8cad4d0db7bbb220b16a19ba0b6b8eb,Belgium Herbarium image of Meise Botanic Garden.
doi_dedup___::09416357796754e1e5dd16ece6542947,"Photochemical processes on ground and airborne surfaces have been suspected to lead to production of HONO in the sunlit lower troposphere, e.g. upon light activation of humic acids followed by reaction with adsorbed NO(2). Here, we used tannic and gentisic acids as proxies for atmospheric polyphenolic compounds to obtain further insights into the photoenhanced NO(2) conversion to HONO, which is a significant tropospheric hydroxyl radical (OH) source. The coated wall flow tube technique was used in combination with online detection of gas-phase HONO and NO(x) under different irradiation conditions. Photoenhanced HONO formation rates of 0.1 to 2 ppbv s(-1) were measured upon NO(2) (0-400 ppbv) uptake on tannic and gentisic acid coatings under irradiation with UV light. The data allow identification of three pathways of light-induced HONO formation: (I) photolysis of a nitroaromatic intermediate formed by a non-photochemical process in the dark, with a photolysis frequency of 10(4) s(-1) at 2 × 10(20) photons m(-2) photon flux; (II) direct photo-oxidation, presumably through electron or hydrogen transfer of the excited substrate; and (III) sensitized electron or hydrogen transfer as suggested before but also demonstrated for visible irradiation here. Aging of tannic acid under oxygen in the dark led to products which promoted light-induced HONO formation in the visible."
doi_dedup___::335a4f4c9db42aca6e6db3553c7a0a2d,"Genome-wide association studies have provided evidence for inherited genetic predisposition to chronic lymphocytic leukemia (CLL). To gain insight into the mechanisms underlying CLL risk we analyze chromatin accessibility, active regulatory elements marked by H3K27ac, and DNA methylation at 42 risk loci in up to 486 primary CLLs. We identify that risk loci are significantly enriched for active chromatin in CLL with evidence of being CLL-specific or differentially regulated in normal B-cell development. We then use in situ promoter capture Hi-C, in conjunction with gene expression data to reveal likely target genes of the risk loci. Candidate target genes are enriched for pathways related to B-cell development such as MYC and BCL2 signalling. At 14 loci the analysis highlights 63 variants as the probable functional basis of CLL risk. By integrating genetic and epigenetic information our analysis reveals novel insights into the relationship between inherited predisposition and the regulatory chromatin landscape of CLL."
doi_dedup___::412e022296351acb7be70b73ba008664,"Uncertainties in the simulation of Higgs boson production with up to two jets at next-to leading order accuracy are investigated. Traditional uncertainty estimates based on scale variations are extended employing different functional forms for the central scale, and the impact of details in the implementation of the parton shower is discussed."
doi_dedup___::45004d5187abfff246e5ba1235149274,This paper demonstrates that disposable polyester-toner microfluidic devices are suitable to produce either water-in-oil (W/O) or oil-in-water (O/W) droplets without using any surface treatment of the microchannels walls. Highly monodisperse W/O and O/W emulsions were generated in T-junction microdevices by simply adding appropriate surfactants to the continuous phase. The dispersion in size of droplets generated at frequencies up to 500 Hz was always less than about 2% over time intervals of a couple of hours.
doi_dedup___::6497de463fb99f8269fff53a1e38cc9c,"We approach the quasi-isometric classification questions on Lie groups by considering low dimensional cases and isometries alongside quasi-isometries. First, we present some new results related to quasi-isometries between Heintze groups. Then we will see how these results together with the existing tools related to isometries can be applied to groups of dimension 4 and 5 in particular. Thus we take steps towards determining all the equivalence classes of groups up to isometry and quasi-isometry. We completely solve the classification up to isometry for simply connected solvable groups in dimension 4, and for the subclass of groups of polynomial growth in dimension 5."
doi_dedup___::860a7d6ea7b493a7c16348f2bd19e33c,"The dosing of layered materials with alkali metals has become a commonly used strategy in ARPES experiments. However, precisely what occurs under such conditions, both structurally and electronically, has remained a matter of debate. Here we perform a systematic study of 1T-${\\mathrm{HfTe}}_{2}$, a prototypical semimetal of the transition metal dichalcogenide family. By utilizing photon energy-dependent angle-resolved photoemission spectroscopy (ARPES), we have investigated the electronic structure of this material as a function of potassium (K) deposition. From the ${k}_{z}$ maps, we observe the appearance of 2D dispersive bands after electron dosing, with an increasing sharpness of the bands, consistent with the wave-function confinement at the topmost layer. In our highest-dosing cases, a monolayerlike electronic structure emerges, presumably as a result of intercalation of the alkali metal. Here, by bringing the topmost valence band below ${E}_{F}$, we can directly measure a band overlap of $\\ensuremath{\\sim}0.2$ eV. However, 3D bulklike states still contribute to the spectra even after considerable dosing. Our work provides a reference point for the increasingly popular studies of the alkali metal dosing of semimetals using ARPES."
doi_dedup___::b1e9782cdd015b2eddda909c6247c5c2,"<p>Avec la pand&eacute;mie, les pratiques de surveillance num&eacute;rique ont explos&eacute; sur les lieux de travail physiques et virtuels, modifiant les rapports de force professionnels, au profit de l&#39;employeur. Tant les travailleurs essentiels que les t&eacute;l&eacute;travailleurs ont fait les frais de cette &eacute;volution, qui risque de survivre &agrave; la crise. Dans ce contexte, les auteurs s&#39;interrogent sur l&#39;ad&eacute;quation du cadre juridique europ&eacute;en sur la protection des donn&eacute;es. Pour eux, le dialogue social, l&#39;autonomisation des travailleurs et la ma&icirc;trise des techniques num&eacute;riques figurent parmi les moyens &agrave; mobiliser pour am&eacute;liorer la protection des travailleurs tout en promouvant la flexibilit&eacute;, le bien-&ecirc;tre et la comp&eacute;titivit&eacute;.</p>"
doi_dedup___::dddb469f5e4e2a0c05ef71ed2a8e657f,"<p>High-fidelity scale-resolving simulations of turbulent flows can be prohibitively expensive, especially at high Reynolds numbers. Therefore, multifidelity models (MFM) can be highly relevant for constructing predictive models for flow quantities of interest (QoIs), uncertainty quantification, and optimization. For numerical simulation of turbulence, there is a hierarchy of methodologies. On the other hand, there are calibration parameters in each of these methods which control the predictive accuracy of the resulting outputs. Compatible with these, the hierarchical MFM strategy which allows for simultaneous calibration of the model parameters as developed by Goh et al. [7] within a Bayesian framework is considered in the present study. The multifidelity model is applied to two cases related to wall-bounded turbulent flows. The examples are the prediction of friction at different Reynolds numbers in turbulent channel flow, and the prediction of aerodynamic coefficients for a range of angles of attack of a standard airfoil. In both cases, based on a few high-fidelity datasets, the MFM leads to accurate predictions of the QoIs as well as an estimation of uncertainty in the predictions.</p>"
doi_dedup___::e34c2575617545323f962ff3ea7ba28f,"This study sought to identify homogenous echocardiographic phenotypes in community-based cohorts and assess their association with outcomes.Asymptomatic cardiac dysfunction leads to a high risk of long-term cardiovascular morbidity and mortality; however, better echocardiographic classification of asymptomatic individuals remains a challenge.Echocardiographic phenotypes were identified using K-means clustering in the first generation of the STANISLAS (Yearly non-invasive follow-up of Health status of Lorraine insured inhabitants) cohort (N = 827; mean age: 60 ± 5 years; men: 48%), and their associations with vascular function and circulating biomarkers were also assessed. These phenotypes were externally validated in the Malmö Preventive Project cohort (N = 1,394; mean age: 67 ± 6 years; men: 70%), and their associations with the composite of cardiovascular mortality (CVM) or heart failure hospitalization (HFH) were assessed as well.Three echocardiographic phenotypes were identified as \""mostly normal (MN)\"" (n = 334), \""diastolic changes (D)\"" (n = 323), and \""diastolic changes with structural remodeling (D/S)\"" (n = 170). The D and D/S phenotypes had similar ages, body mass indices, cardiovascular risk factors, vascular impairments, and diastolic function changes. The D phenotype consisted mainly of women and featured increased levels of inflammatory biomarkers, whereas the D/S phenotype, consisted predominantly of men, displayed the highest values of left ventricular mass, volume, and remodeling biomarkers. The phenotypes were predicted based on a simple algorithm including e', left ventricular mass and volume (e'VM algorithm). In the Malmö cohort, subgroups derived from e'VM algorithm were significantly associated with a higher risk of CVM and HFH (adjusted HR in the D phenotype = 1.87; 95% CI: 1.04 to 3.37; adjusted HR in the D/S phenotype = 3.02; 95% CI: 1.71 to 5.34).Among asymptomatic, middle-aged individuals, echocardiographic data-driven classification based on the simple e'VM algorithm identified profiles with different long-term HF risk. (4th Visit at 17 Years of Cohort STANISLAS-Stanislas Ancillary Study ESCIF [STANISLASV4]; NCT01391442)."
doi_dedup___::fbec001c2191cb050d4d34a3412c29e5,"We present a new concept, termed tissue lithography (TL), and its implementation which enables retrospective studies on formalin-fixed paraffin-embedded tissue sections. Tissue lithography uses a microfluidic probe to remove microscale areas of the paraffin layer on formalin-fixed paraffin-embedded biopsy samples. Current practices in sample utilization for research and diagnostics require complete deparaffinization of the sample prior to molecular testing. This imposes strong limitations in terms of the number of tests as well as the time when they can be performed on a single sample. Microscale dewaxing lifts these constraints by permitting deprotection of a fraction of a tissue for testing while keeping the remaining of the sample intact for future analysis. After testing, the sample can be sent back to storage instead of being discarded, as is done in standard workflows. We achieve this microscale dewaxing by hydrodynamically confining nanoliter volumes of xylene on top of the sample with a probe head. We demonstrate micrometer-scale, chromogenic and fluorescence-based immunohistochemistry against multiple biomarkers (p53, CD45, HER2 and β-actin) on tonsil and breast tissue sections and microarrays. We achieve stain patterns as small as 100 μm × 50 μm as well as multiplexed immunostaining within a single tissue microarray core with a 20-fold time reduction for local dewaxing as compared to standard protocols. We also demonstrate a 10-fold reduction in the rehydration time, leading to lower processing times between different stains. We further show the potential of TL for retrospective studies by sequentially dewaxing and staining four individual cores within the same tissue microarray over four consecutive days. By combining tissue lithography with the concept of micro-immunohistochemistry, we implement each step of the IHC protocol—dewaxing, rehydration and staining—with the same microfluidic probe head. Tissue lithography brings a new level of versatility and flexibility in sample processing and budgeting in biobanks, which may alleviate current sample limitations for retrospective studies in biomarker discovery and drug screening."
narcis______::bd93122589c28ac11198b3308138d907,ESMValCore: A community tool for pre-processing data from Earth system models in CMIP and running analysis scripts.
od_______645::b523ba5a9750c8b1d98325d252427f5c,"The reality of the third millennium teaches us the lesson of complexity in which the solutions of the positivist approach based on the arrogance of complete and objective knowledge fail one by one faced with multidimensional crisis. Among the relatively few scientists, but who outstand by the permanence of their work, that dared to escape beyond paradigms and to propose their rethinking for constructing the theoretical basis of the ecoeconomic universe we find PhD Professor Paul Bran. Perseverance, skill, discipline, optimism, abnegation, creativity were invested by PhD Professor Paul Bran for exploring, correlating, synthesizing, analyzing, evaluating and creating an original model – the entropy value theory – that could substantiate solutions for the dysfunctions resulting from the neglecting of the complex interdependencies in the humans-economy-environment triangle. We evoke an outstanding personality of the economic thought, Professor dr. Paul Bran, on the one hand, for bringing in relief his remarkable scientific contribution, and, on the other hand, for highlighting the key role of the encyclopedic knowledge and exceptional moral verticality association in the building of a paradigm that is adapted to the complexity of the contemporary transformation of the social-ecological systems."
pmid________::1ebd2a268ae919f29fb053937480f882,"Chromatin architectures and epigenetic fingerprint regulation are fundamental for genetically determined biological processes. Chemical modifications of the chromatin template sensitize the genome to intracellular metabolism changes to set up diverse functional adaptive states. Accumulated evidence suggests that the action of epigenetic modifiers is sensitive to changes in dietary components and cellular metabolism intermediates, linking nutrition and energy metabolism to gene expression plasticity. Histone posttranslational modifications create a code that acts as a metabolic sensor, translating changes in metabolism into stable gene expression patterns. These observations support the notion that epigenetic reprograming-linked energy input is connected to the etiology of metabolic diseases and cancer. In the present review, we introduce the role of epigenetic cofactors and their relation with nutrient intake and we question the links between epigenetic regulation and the development of metabolic diseases."
doi_________::23c7be8c1eb2ae0614456dc39f332707,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_________::7f827b8e515122a119838f643d2b0c3a,Belgium Herbarium image of Meise Botanic Garden.
doi_________::b1aee91751ab6afe1bf95bf88f38af5f,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_________::f3f0d3afb4c0606a3e48b141d17687fb,Belgium Herbarium image of Meise Botanic Garden.
doi_________::f5c5ce9ce6be34007fce00decf67ec50,Supplemental Materialâ  Search strategy. (DOC 34Â kb)
doi_dedup___::05eb1545168460eaf8e46a72198e223b,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_dedup___::21eae752b5cf64f87670a52ada557f0c,"International audience; Stencil computations are the basis to solve many problems related to Partial Differential Equations (PDEs). Obtaining the best performance with such numerical kernels is a major issue as many critical parameters (architectural features, compiler flags, memory policies, multithreading strategies) must be finely tuned. In this context, auto-tuning methods have been extensively used to improve the overall performance. However, the complexity of current architectures and the large number of optimizations to consider reduce the efficiency of this approach. This paper focuses on the use of Machine Learning to predict the performance of stencil kernels on multi-core architectures. Low-level hardware counters (e.g. cache-misses and TLB misses) on a limited number of executions are used to build our predictive model. We have considered two different kernels (7-point Jacobi and seismic wave modelling) to demonstrate the effectiveness of our approach. Our results show that performance can be predicted and that the best input configuration for stencil problems can be obtained by simulations of hardware counters and performance measurements."
doi_dedup___::3d2e3738df98a71c14f7b8941333efda,"Ageing is a hot topic due to the changing demography of developed countries that have seen life expectancy reach an all-time high. The percentage of the population made up of people aged over 65 years increased in all European Union (EU) member countries between 1985 and 2011 and is projected to further increase in all EU countries over the next 20 years. The continuing improvement in mortality rates is an achievement to be celebrated, but we must not overlook the problem that most people aged over 65 years report long-standing illness or disability that reduces their quality of life and restricts their ability to be economically or socially active. Among the many comorbidities of ageing, musculoskeletal dysfunctions are the most common. Thus, a major challenge to researchers, government and, in fact, society at large, is to find ways to preserve health and vitality into older age. In the elderly, muscles become atrophic (loss in muscle mass) and weaker (loss in muscle force), more susceptible to damage and regenerate and recover more slowly than was the case in their youth. Understanding and combating age-related muscle weakness requires a precise definition of the elderly population in terms of mobility and repair capacity, based upon assessment and identification of both physiological and molecular indicators and integration of this data to replace the fragmented and dispersed knowledge that we have of age related muscle weakness. Ageing is a general process of the organism, in which a decline in the proliferation of the progenitors, a lower income of nutrients through vasculature as well as a decreased efficiency of the cellular machinery to metabolize these nutrients, and a less effective dialogue with the other systems participating to the muscle function, result finally in muscle weakness and frailty. Muscle ageing is thus necessarily a multi-component process which will involve as targets the muscle cells, the inflammatory process that increases with aging, as well as weaker tendons and less effective control by the nerves. Combating muscle weakness requires an integrated multi-disciplinary approach that gathers expertise from gerontologists, epidemiologists, cellular and molecular biologists and physiologists. This special issue of Biogerontology features original articles and review papers from the MYOAGE study centred on the topic of skeletal muscle ageing. We explore the causes and consequence of reduced muscle mass leading to sarcopenia, muscle weakness and mobility limitations, in order to decipher some potential targets on which to act to allow a “better ageing” for the elderly population.    The MYOAGE study was an EU-FP7-funded large-scale project involving 19 leading academic or industry-based research teams from 10 EU countries. The project encompassed an integrative approach of epidemiological, physiological, cell and molecular and genetic investigations of patients suffering chronic disease involving muscle weakness, compared to healthy humans and master athletes with developed muscle strength, as well as rodent and cell culture models. The overall aim was to investigate the contribution of age-related changes to muscle mass, contractile characteristics and neural control in relation to mobility limitations in healthy young and older adults using standardised assessments. This multi-disciplinary pan-European approach has allowed us to define healthy and impaired muscle ageing and to identify new biomarkers and risk factors of muscle weakness in older age. The project was organised in three main aims: Collect, collate and combat. These aims were achieved through eight work packages (WPs) with a scientific focus, 1 WP specifically addressing ethical issues and 2 WPs dealing with overall study management and training of emerging scientists. In this special issue of Biogerontology we report the detailed methodology and phenotype data collected from 504 young and older healthy men and women. Biological material (muscle biopsies, muscle cell cultures, blood and serum samples) were collected from these well characterised young and old sedentary and active subjects and was used by all research groups to try to correlate the age related physiological modifications to cellular and molecular mechanisms. The different chapters in this issue highlight some of the findings of this study.    One striking theme to emerge from the integration of results from this project was that findings from animal models are not necessarily an indication of human ageing. Detailed examination of human tissue offered several “surprise” findings and emphasized the role of an “ageing environment” on muscle function and regenerative capacity. However, there was considerable “heterogeneity” between samples that often made it difficult to reach final conclusions about the respective role of the molecular processes in healthy or diseased ageing. This combined effort should be followed up in larger human trials.    The MYOAGE ethos was to promote multi-disciplinary, collaborative work between established scientists and industry as well as the development and mentorship of emerging young scientists. The results of this work provide a detailed insight into “normal, healthy” ageing as well as disease and link whole-body function and systems-biology to the structure and function of the neuromuscular systems and the molecular characteristics of skeletal muscle. The work will be used to define guidelines for public health promotion in older age. All data have been retained in a database. A biobank including blood and muscle tissue samples is being maintained and we welcome opportunities to collaborate and further develop our understanding of the impact of ageing on neuromuscular function and health. Finally, several workshops were organized for young students and scientists, thus paving the way to a body of confirmed scientists within the field of muscle ageing.    In conclusion, the concerted research projects conducted within MYOAGE, and which associated clinicians, cell and molecular biologists and physiologists, most of the members having multiple expertise, confirmed some data described on animal models, but also infirmed others, thus designing a new landscape representing human muscle ageing. This standardized description of physiological, cellular and molecular mechanisms involved will allow us to consider ageing of each organ as integrated into the ageing organism in order to identify relevant targets to provide to the EU population conditions for “healthy ageing”."
doi_dedup___::3ed0d7350eac8c966845c1965504b577,We present an optimization of the hadron focusing system for a low-energy high-intensity conventional neutrino beam (Super-Beam) proposed on the basis of the HP-SPL at CERN with a beam power of 4 MW and an energy of 4.5 GeV. The far detector would be a 440 kton Water Cherenkov detector (MEMPHYS) located at a baseline of 130 km in the Fr\\'ejus site. The neutrino fluxes simulation relies on a new GEANT4 based simulation coupled with an optimization algorithm based on the maximization of the sensitivity limit on the $\\theta_{13}$ mixing angle. A new configuration adopting a multiple horn system with solid targets is proposed which improves the sensitivity to $\\theta_{13}$ and the CP violating phase $\\delta_{CP}$.
doi_dedup___::4d575e19e1af41b616c0f06e544fa4be,"The field of magnonics attracts significant attention due to the possibility of utilizing information coded into the spin-wave phase or amplitude to perform computation operations on the nanoscale. Recently, spin waves were investigated in Yttrium Iron Garnet (YIG) waveguides with widths ranging down to 50 nm and aspect ratios thickness over width approaching unity. A critical width was found, below which the exchange interaction suppresses the dipolar pinning phenomenon and the system becomes unpinned. Here we continue these investigations and analyse the pinning phenomenon and spin-wave dispersions as a function of temperature, thickness and material of choice. Higher order modes, the influence of a finite wavevector along the waveguide and the impact of the pinning phenomenon on the spin-wave lifetime are discussed as well as the influence of a trapezoidal cross section and edge roughness of the waveguides. The presented results are of particular interest for potential applications in magnonic devices and the incipient field of quantum magnonics at cryogenic temperatures."
doi_dedup___::66040433b123640c420be5a3d45a3fe0,"Social-ecological (SE) traps refer to persistent mismatches between the responses of people, or organisms, and their social and ecological conditions that are undesirable from a sustainability perspective. Until now, the occurrence of SE traps is primarily explained from a lack of adaptive capacity; not much attention is paid to other causal factors. In our article, we address this concern by theorizing the variety of human responses to SE traps and the effect of these responses on trap dynamics. Besides (adaptive) capacities, we theorize desires, abilities and opportunities as important additional drivers to explain the diversity of human responses to traps. Using these theoretical concepts, we construct a typology of human responses to SE traps, and illustrate its empirical relevance with three cases of SE traps: Swedish Baltic Sea fishery; amaXhosa rural livelihoods; and Pamir smallholder farming. We conclude with a discussion of how attention to the diversity in human response to SE traps may inform future academic research and planned interventions to prevent or dissolve SE traps."
doi_dedup___::66e30a8ba9bb04d516bac0052153e67c,"A stable and narrowly distributed dispersion of Mn-doped ZnS nanoparticles with an average diameter of 3 nm, has been synthesized via chemical precipitation without using any surfactant. The surface of the particles has been functionalized with acrylic acid for compatibilization with PMMA. Transparent luminescent nanocomposite powder was obtained using solvent polymerization of ZnS:Mn nanoparticles in a mixture of methyl methacrylate and acrylic acid. Nanocomposites produced by effectively processing this powder into pure PMMA demonstrated \""down shifting\"" performance. The nanocomposite plaques produced were shown to improve the efficiency of a silicon solar cell. Refereed/Peer-reviewed"
doi_dedup___::7721da8fd40915e0f94b009935da932e,"<jats:title>Abstract</jats:title><jats:sec>                 <jats:title>Background</jats:title>                 <jats:p>All living systems acquire information about their environment. At the cellular level, they do so through signaling pathways. Such pathways rely on reversible binding interactions between molecules that detect and transmit the presence of an extracellular cue or signal to the cell’s interior. These interactions are inherently stochastic and thus noisy. On the one hand, noise can cause a signaling pathway to produce the same response for different stimuli, which reduces the amount of information a pathway acquires. On the other hand, in processes such as stochastic resonance, noise can improve the detection of weak stimuli and thus the acquisition of information. It is not clear whether the kinetic parameters that determine a pathway’s operation cause noise to reduce or increase the acquisition of information. </jats:p>               </jats:sec><jats:sec>                 <jats:title>Results</jats:title>                 <jats:p>We analyze how the kinetic properties of the reversible binding interactions used by signaling pathways affect the relationship between noise, the response to a signal, and information acquisition. Our results show that, under a wide range of biologically sensible parameter values, a noisy dynamic of reversible binding interactions is necessary to produce distinct responses to different stimuli. As a consequence, noise is indispensable for the acquisition of information in signaling pathways.</jats:p>               </jats:sec><jats:sec>                 <jats:title>Conclusions</jats:title>                 <jats:p>Our observations go beyond previous work by showing that noise plays a positive role in signaling pathways, demonstrating that noise is essential when such pathways acquire information.</jats:p>               </jats:sec>"
doi_dedup___::785e6c33feff7f0d8104ab5ceb6dfb27,"<jats:p><jats:italic>Background and Aims</jats:italic>. Dysregulation of miR-223 was recently linked to various diseases associated with systemic inflammatory responses such as type 2 diabetes, cancer, and bacterial infections. However, contradictory results are available on potential alterations of miR-223 serum levels during sepsis. We thus aimed to evaluate the diagnostic and prognostic value of miR-223 serum concentrations in patients with critical illness and sepsis.<jats:italic>Methods</jats:italic>. We used i.v. injection of lipopolysaccharide (LPS) as well as cecal pole ligation and puncture (CLP) for induction of polymicrobial sepsis in mice and measured alterations in serum levels of miR-223. These results from mice were translated into a large and well-characterized cohort of critically ill patients admitted to the medical intensive care unit (ICU). Finally, results from analysis in patients were correlated with clinical data and extensive sets of routine and experimental biomarkers.<jats:italic>Results</jats:italic>. Although LPS injection induced moderately elevated serum miR-223 levels in mice, no significant alterations in miR-223 serum levels were found in mice after CLP-induced sepsis. In accordance with these results from animal models, serum miR-223 levels did not differ between critically ill patients and healthy controls. However, ICU patients with more severe disease (APACHE-II score) showed moderately reduced circulating miR-223. Strikingly, no differences in miR-223 levels were found in critically ill patients with or without sepsis, and serum levels of miR-223 did not correlate with classical markers of inflammation or bacterial infection. Finally, low miR-223 serum levels were moderately associated with an unfavorable prognosis of patients during the ICU treatment but did not predict long-term mortality.<jats:italic>Conclusion</jats:italic>. Recent reports on alterations in miR-223 serum levels during sepsis revealed contradictory results, preventing a potential use of this miRNA in clinical routine. We clearly show that miR-223 serum levels do not reflect the presence of sepsis neither in mouse models nor in a large cohort of ICU patients and do not indicate clinical outcome of critically ill patients. Thus miR-223 serum levels should not be used as a biomarker in this setting.</jats:p>"
doi_dedup___::8d946a73dcd287f681e2b284caad479a,"A numerical study, stimulated by existing experimental results concerning the temporal dynamics of internally generated radiations, is presented for a four-level system of the potassium atom. An intense nanosecond duration laser pulse excites the two-photon transition |4S(1/2)> <-> |6S(1/2)> and initiates the generation of internal radiations from quantum noise. It is shown that the temporal profiles of the generated radiations along the atomic path-1, (|4S(1/2)> <-> |6S(1/2)> <-> |5P(3/2)> <-> |4S(1/2)>) and path-2, (|4S(1/2)> <-> |6S(1/2)> <-> |4P(3/2)> <-> |4S(1/2)>), evolve differently as a function of certain system parameters. It is also shown that the excitation laser intensity affects the parametric emissions along path-1 and the population of the states. The path-2 emissions, which also depend on the excitation laser intensity, are most probably due to amplified spontaneous emission (ASE), without population inversion, in the case of strong excitation. We finally examine the radiation dynamics under the effect of the elastic dephasing collisions between the potassium atoms with the buffer gas atoms. Journal of Modern Optics"
doi_dedup___::adee3da4fc15743691256222a779e716,"In this paper, we propose to study the problem of localization of a dense set of people with a network of heterogeneous cameras. We propose to recast the problem as a linear inverse problem. The proposed framework is generic to any scene, scalable in the number of cameras and versatile with respect to their geometry, e.g. planar or omnidirectional. It relies on deducing an \\emph {occupancy vector}, i.e. the discretized occupancy of people on the ground, from the noisy binary silhouettes observed as foreground pixels in each camera. This inverse problem is regularized by imposing a sparse occupancy vector, i.e. made of few non- zero elements, while a particular dictionary of silhouettes linearly maps these non-empty grid locations to the multiple silhouettes viewed by the cameras network. This constitutes a linearization of the problem, where non- linearities, such as occlusions, are treated as additional noise on the observed silhouettes. Mathematically, we express the final inverse problem either as Basis Pursuit DeNoise or Lasso convex optimization programs. The sparsity measure is reinforced by iteratively re-weighting the $\\ell_1$-norm of the occupancy vector for better approximating its $\\ell_0$ ``norm'', and a new kind of ``repulsive'' sparsity is used to adapt further the Lasso procedure to the occupancy reconstruction. Practically, an adaptive sampling process is proposed to reduce the computation cost and monitor a large occupancy area. Qualitative and quantitative results are presented on a basketball game. The proposed algorithm successfully detects people occluding each other given severely degraded extracted features, while outperforming state-of-the-art people localization techniques."
doi_dedup___::ea65c6c64c56d6b372c27d0a20b845e6,"Food allergy can result in considerable morbidity, impairment of quality of life,  and healthcare expenditure. There is therefore interest in novel strategies for its  treatment, particularly food allergen immunotherapy (FA-AIT) through the oral (OIT),  sublingual (SLIT), or epicutaneous (EPIT) routes. This Guideline, prepared by the  European Academy of Allergy and Clinical Immunology (EAACI) Task Force on Allergen  Immunotherapy for IgE-mediated Food Allergy, aims to provide evidence-based  recommendations for active treatment of IgE-mediated food allergy with FA-AIT.  Immunotherapy relies on the delivery of gradually increasing doses of specific  allergen to increase the threshold of reaction while on therapy (also known as  desensitization) and ultimately to achieve post-discontinuation effectiveness (also  known as tolerance or sustained unresponsiveness). Oral FA-AIT has most frequently  been assessed: here, the allergen is either immediately swallowed (OIT) or held  under the tongue for a period of time (SLIT). Overall, trials have found substantial  benefit for patients undergoing either OIT or SLIT with respect to efficacy during  treatment, particularly for cow's milk, hen's egg, and peanut allergies. A benefit  post-discontinuation is also suggested, but not confirmed. Adverse events during  FA-AIT have been frequently reported, but few subjects discontinue FA-AIT as a  result of these. Taking into account the current evidence, FA-AIT should only be  performed in research centers or in clinical centers with an extensive experience in  FA-AIT. Patients and their families should be provided with information about the  use of FA-AIT for IgE-mediated food allergy to allow them to make an informed  decision about the therapy."
doi_dedup___::f6ec732ab127b2aa4609f59429c4c709,"Two derivatives, (3)L and (9)L, of a ditopic, multiply hydrogen-bonding molecule, known for more than a decade, have been found, in the solid state as well as in solvents of low polarity at room temperature, to exist not as monomers, but to undergo a remarkable self-assembly into a complex supramolecular species. The solid-state molecular structure of (3)L, determined by single-crystal X-ray crystallography, revealed that it forms a highly organized hexameric entity (3)L6 with a capsular shape, resulting from the interlocking of two sets of three monomolecular components, linked through hydrogen-bonding interactions. The complicated (1)H NMR spectra observed in o-dichlorobenzene (o-DCB) for (3)L and (9)L are consistent with the presence of a hexamer of D3 symmetry in both cases. DOSY measurements confirm the hexameric constitution in solution. In contrast, in a hydrogen-bond-disrupting solvent, such as DMSO, the (1)H NMR spectra are very simple and consistent with the presence of isolated monomers only. Extensive temperature-dependent (1)H NMR studies in o-DCB showed that the L6 species dissociated progressively into the monomeric unit on increasing th temperature, up to complete dissociation at about 90 °C. The coexistence of the hexamer and the monomer indicated that exchange was slow on the NMR timescale. Remarkably, no species other than hexamer and monomer were detected in the equilibrating mixtures. The relative amounts of each entity showed a reversible sigmoidal variation with temperature, indicating that the assembly proceeded with positive cooperativity. A full thermodynamic analysis has been applied to the data."
od_______645::5d7249bde3468f987429cb595e13ca6c,"Classification allows institutions a better understanding of their role in the economy and society, mechanisms for establishing, amending and abolishing the institutions of the determinants of institutional change, the relationship between institutions and their relationships with the people and civil society. In order to measure and monitor the institutional development at national level it has been imposed a new concept in the mid 90s based on governance. The purpose of this study is to investigate the elevation EU multilevel governance."
r3c4b2081b22::880037a8c846ba2b90c07993a1a304cd,"Second Festival will be held with Europe, using lessons learnt from first Festival [all Tasks]. Participants: all work package partners"
sygma_______::b61ba1033394a88823230710c4a9bffe,"Deep generative models can synthesize photorealistic images of human faces with novel identities. However, a key challenge to the wide applicability of such techniques is to provide independent control over semantically meaningful parameters: appearance, head pose, face shape, and facial expressions. In this paper, we propose VariTex - to the best of our knowledge the first method that learns a variational latent feature space of neural face textures, which allows sampling of novel identities. We combine this generative model with a parametric face model and gain explicit control over head pose and facial expressions. To generate complete images of human heads, we propose an additive decoder that adds plausible details such as hair. A novel training scheme enforces a pose-independent latent space and in consequence, allows learning a one-to-many mapping between latent codes and pose-conditioned exterior regions. The resulting method can generate geometrically consistent images of novel identities under fine-grained control over head pose, face shape, and facial expressions. This facilitates a broad range of downstream tasks, like sampling novel identities, changing the head pose, expression transfer, and more. Code and models are available for research on https://mcbuehler.github.io/VariTex."
doi_________::27ecc443bee856f239be945906b39dd0,
doi_________::29cf5c47a95105fe604cb1fdf31fa31a,Belgium Herbarium image of Meise Botanic Garden.
